数据库：年度数据
时间：最近20年
时间,第一孩次出生人口数(人口抽样调查)(人),15-19岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),15岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),16岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),17岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),18岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),19岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),20-24岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),20岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),21岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),22岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),23岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),24岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),25-29岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),25岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),26岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),27岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),28岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),29岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),30-34岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),30岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),31岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),32岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),33岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),34岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),35-39岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),35岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),36岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),37岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),38岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),39岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),40-44岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),40岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),41岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),42岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),43岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),44岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),45-49岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),45岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),46岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),47岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),48岁育龄妇女第一孩次出生人口数(人口抽样调查)(人),49岁育龄妇女第一孩次出生人口数(人口抽样调查)(人)
2015年,93098,4614,97,313,680,1237,2288,30821,3614,4916,6117,7088,9086,39785,10178,9216,8316,7016,5059,11563,3503,2697,2286,1810,1267,3459,1014,824,637,526,457,1688,407,358,340,303,279,1167,267,246,234,208,212
2014年,6553,318,5,16,52,88,158,2733,327,434,484,731,756,2591,698,674,530,375,314,692,219,173,141,84,75,174,65,37,33,24,14,38,9,14,8,6,1,8,,3,2,2,1
2013年,7092,244,2,13,44,81,104,2777,237,395,547,807,792,2772,721,671,554,482,344,932,270,240,159,146,117,250,77,58,44,37,35,79,26,19,13,11,10,38,11,5,5,6,11
2012年,7412,231,,11,37,69,113,3090,236,462,749,873,770,2867,765,687,501,493,422,893,323,212,158,113,87,215,52,55,42,34,33,79,34,12,18,7,8,37,7,9,5,4,11
2011年,6428,218,7,9,33,57,112,3057,257,584,658,739,818,2291,621,520,398,363,390,622,218,161,110,82,51,147,47,28,28,28,16,60,18,18,8,13,3,31,6,4,5,12,5
2009年,7693,219,1,9,18,47,145,3395,364,602,852,856,722,2441,661,541,541,370,329,782,234,186,126,129,107,372,90,68,80,60,75,265,66,73,36,47,43,196,47,47,38,28,36
2008年,8377,215,1,2,14,51,147,3455,329,701,803,784,838,2727,685,697,524,452,370,917,274,170,191,153,129,493,94,122,82,108,87,333,72,63,68,76,55,188,65,47,22,29,23
2007年,8133,166,,,10,58,98,3422,349,658,728,804,883,2905,842,671,583,462,347,867,216,231,172,138,110,405,91,104,74,63,73,205,50,42,37,39,36,122,21,18,38,18,27
2006年,7571,210,0,7,24,53,126,3604,352,606,806,839,1001,2629,776,635,553,385,281,707,223,183,127,87,87,252,85,62,42,36,26,120,23,26,24,17,31,49,10,11,9,10,9
2005年,101383,3993,17,88,402,1019,2466,55745,6344,10302,12802,14169,12128,33103,10829,8299,6114,4511,3350,6925,2390,1782,1185,860,709,1275,452,367,215,125,116,240,84,59,47,20,30,101,14,28,14,22,23
2004年,9319,258,3,10,29,64,152,4593,396,820,1079,1144,1154,3495,1063,875,663,514,381,807,270,198,148,108,83,141,56,35,19,17,14,20,8,6,3,1,1,5,,1,1,2,2
2003年,9159,238,6,8,21,55,147,4614,420,786,1021,1160,1227,3440,1030,824,706,508,373,743,278,193,128,86,59,106,47,27,14,12,6,12,3,4,2,1,2,6,1,1,1,1,2
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
