数据库：年度数据
时间：最近20年
时间,第三孩及以上出生人口数(人口抽样调查)(人),15-19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),15岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),16岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),17岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),18岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),20-24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),20岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),21岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),22岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),23岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),25-29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),25岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),26岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),27岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),28岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),30-34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),30岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),31岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),32岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),33岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),35-39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),35岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),36岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),37岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),38岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),40-44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),40岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),41岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),42岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),43岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),45-49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),45岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),46岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),47岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),48岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人)
2015年,12516,47,,,3,12,32,1079,66,122,191,261,440,3788,627,700,789,838,833,3787,818,776,775,753,666,2253,592,534,423,361,342,979,273,225,189,149,143,583,132,109,115,112,114
2014年,735,7,,,,2,5,60,1,6,7,19,27,225,33,53,52,58,29,254,54,56,52,48,43,122,40,21,21,25,15,49,10,13,11,8,6,18,5,6,3,2,1
2013年,490,1,,,,1,,30,2,1,3,5,19,136,16,28,27,33,33,153,33,29,30,41,21,113,25,31,15,23,18,41,16,6,5,11,3,17,7,4,2,2,1
2012年,500,1,,,,1,1,41,2,2,5,10,22,117,17,20,29,28,24,163,35,29,40,26,33,110,28,18,29,22,14,56,17,13,16,6,4,11,3,3,5,,
2011年,419,1,,,,,1,32,,3,5,8,16,119,13,18,31,19,37,146,33,36,27,28,22,85,9,20,25,22,9,30,12,7,3,2,6,5,1,,,1,3
2009年,412,1,,,,,1,23,3,2,1,5,12,101,15,16,19,18,34,123,19,32,26,24,21,105,17,19,25,25,18,41,9,9,7,8,7,17,6,4,3,1,4
2008年,456,2,,,,,1,30,,2,9,7,11,121,18,19,19,28,37,152,40,23,29,32,28,94,20,23,21,16,14,43,12,10,9,7,6,12,5,3,1,2,2
2007年,446,,,,,,,24,3,1,5,3,12,93,11,19,21,29,12,184,37,51,35,28,33,102,21,21,31,21,8,26,5,4,10,3,5,16,6,2,,3,5
2006年,447,1,0,0,0,1,0,31,0,8,3,9,11,122,13,26,19,35,28,139,28,29,27,38,16,112,36,31,16,19,10,32,7,9,6,5,5,10,3,1,1,1,4
2005年,8662,11,,,1,3,7,560,23,45,89,158,244,2571,351,467,488,604,661,3192,651,727,665,591,559,1705,456,441,317,261,230,458,142,117,118,42,40,164,28,26,33,41,37
2004年,463,6,1,1,1,1,2,43,4,4,7,10,18,143,24,25,27,31,35,154,35,34,30,29,26,81,19,19,17,15,11,28,9,9,5,3,2,7,1,1,2,2,1
2003年,628,3,,,,1,2,78,4,7,12,24,31,190,29,34,42,39,44,232,53,48,43,45,42,95,30,20,19,16,11,21,8,4,4,3,2,10,2,2,2,2,1
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
