数据库：年度数据
时间：最近20年
时间,第三孩次及以上生育率(人口抽样调查)(‰),15-19岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),15岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),16岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),17岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),18岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),19岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),20-24岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),20岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),21岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),22岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),23岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),24岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),25-29岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),25岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),26岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),27岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),28岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),29岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),30-34岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),30岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),31岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),32岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),33岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),34岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),35-39岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),35岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),36岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),37岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),38岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),39岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),40-44岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),40岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),41岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),42岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),43岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),44岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),45-49岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),45岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),46岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),47岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),48岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰),49岁育龄妇女第三孩次及以上生育率(人口抽样调查)(‰)
2015年,2.21,0.08,,,0.02,0.10,0.22,1.41,0.42,0.84,1.34,1.82,2.46,3.96,3.04,3.57,4.02,4.39,4.96,4.91,5.30,5.14,4.83,4.70,4.57,3.01,4.03,3.57,2.95,2.44,2.15,1.07,1.64,1.28,1.02,0.79,0.72,0.63,0.67,0.55,0.63,0.65,0.63
2014年,2.41,0.22,,,,0.31,0.69,1.33,0.13,0.75,0.87,1.89,2.38,4.70,3.25,5.00,5.20,6.45,3.58,6.25,6.85,6.68,5.89,6.37,5.35,3.01,5.02,2.84,2.66,2.95,1.72,0.97,1.05,1.30,1.12,0.76,0.57,0.37,0.45,0.65,0.33,0.20,0.11
2013年,1.59,0.02,,,,0.12,,0.63,0.19,0.12,0.34,0.45,1.87,3.00,1.51,2.78,3.04,3.99,4.17,3.76,4.00,3.36,3.83,4.99,2.59,2.68,3.36,4.05,1.84,2.57,1.86,0.78,1.57,0.60,0.52,1.01,0.28,0.35,0.78,0.50,0.16,0.21,0.13
2012年,1.58,0.04,,,,0.12,0.08,0.79,0.22,0.17,0.47,0.93,2.08,2.69,1.74,2.31,3.46,3.39,2.75,4.05,3.99,3.79,4.97,3.21,4.32,2.44,3.51,2.08,3.20,2.33,1.34,1.08,1.73,1.23,1.49,0.54,0.41,0.23,0.32,0.31,0.56,,
2011年,1.29,0.02,,,,,0.11,0.59,,0.23,0.49,0.73,1.43,2.68,1.37,2.15,3.75,2.32,3.87,3.63,4.10,4.58,3.31,3.34,2.81,1.79,1.09,2.32,2.59,2.12,0.88,0.58,1.17,0.59,0.27,0.22,0.70,0.10,0.07,0.03,0.03,0.08,0.32
2009年,1.30,0.02,,,,,0.09,0.52,0.31,0.25,0.10,0.56,1.56,2.68,2.06,2.17,2.27,2.38,4.60,3.07,2.47,4.09,3.57,2.90,2.44,1.96,1.79,1.86,2.37,2.31,1.51,0.72,0.82,0.76,0.70,0.69,0.65,0.36,0.50,0.27,0.27,0.16,0.58
2008年,1.43,0.04,,0.05,,,0.13,0.74,0.05,0.20,1.11,0.98,1.53,3.11,2.37,2.17,2.56,3.73,4.82,3.67,4.93,3.21,3.50,3.76,3.00,1.70,1.98,2.18,1.94,1.26,1.26,0.76,0.93,0.95,0.78,0.60,0.52,0.29,0.34,0.27,0.15,0.26,0.36
2007年,1.37,,,,,,,0.61,0.29,0.16,0.71,0.46,1.56,2.35,1.34,2.51,2.76,3.70,1.55,4.17,5.00,6.08,4.06,2.96,3.20,1.75,1.95,1.92,2.46,1.78,0.67,0.46,0.45,0.33,0.81,0.30,0.39,0.41,0.55,0.31,,0.50,0.59
2006年,1.36,0.03,0.00,0.00,0.00,0.13,0.01,0.81,0.00,1.13,0.41,1.22,1.29,3.18,1.66,3.53,2.45,4.45,3.84,2.92,3.29,3.42,2.75,3.72,1.56,1.94,3.14,2.53,1.39,1.54,0.97,0.54,0.60,0.74,0.53,0.38,0.47,0.27,0.55,0.13,0.14,0.09,0.44
2005年,1.85,0.02,,,0.01,0.02,0.07,1.04,0.23,0.45,0.79,1.32,2.29,4.42,3.05,4.10,4.41,5.21,5.23,4.21,4.86,5.02,4.32,3.76,3.30,2.04,2.68,2.41,1.99,1.71,1.36,0.65,0.86,0.66,0.66,0.42,0.45,0.28,0.29,0.25,0.25,0.32,0.29
2004年,1.32,0.13,0.11,0.12,0.07,0.09,0.28,1.06,0.48,0.54,0.77,1.26,2.15,3.10,2.77,2.89,3.09,3.29,3.41,2.58,3.24,3.03,2.50,2.28,2.01,1.33,1.46,1.56,1.51,1.25,0.87,0.59,0.70,0.73,0.64,0.40,0.27,0.15,0.09,0.11,0.23,0.19,0.12
2003年,1.79,0.06,,,,0.10,0.25,1.90,0.51,0.89,1.51,2.87,3.49,3.91,3.45,3.90,4.35,3.81,3.96,3.68,4.60,3.97,3.31,3.47,3.20,1.55,2.37,1.77,1.57,1.30,0.79,0.49,0.61,0.55,0.63,0.42,0.21,0.21,0.24,0.24,0.21,0.21,0.13
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
