数据库：年度数据
时间：最近20年
时间,第二孩次出生人口数(人口抽样调查)(人),15-19岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),15岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),16岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),17岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),18岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),19岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),20-24岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),20岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),21岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),22岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),23岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),24岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),25-29岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),25岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),26岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),27岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),28岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),29岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),30-34岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),30岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),31岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),32岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),33岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),34岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),35-39岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),35岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),36岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),37岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),38岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),39岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),40-44岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),40岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),41岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),42岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),43岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),44岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),45-49岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),45岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),46岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),47岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),48岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),49岁育龄妇女第二孩次出生人口数(人口抽样调查)(人)
2015年,69695,644,9,27,64,161,383,10270,672,1146,1832,2611,4009,27580,5209,5535,5844,5829,5163,19619,4572,4257,4104,3719,2968,8195,2494,2102,1528,1140,930,2241,698,520,403,332,288,1146,252,240,213,210,231
2014年,4082,28,,,3,10,15,812,34,80,117,258,322,1664,343,370,318,323,310,1047,262,226,220,175,163,393,132,82,80,49,50,112,38,22,29,12,11,26,8,4,6,5,4
2013年,3431,17,,1,1,4,11,512,25,55,74,156,201,1347,254,264,315,276,239,985,209,265,196,183,134,418,116,89,81,66,66,122,36,25,22,23,15,29,8,7,11,1,2
2012年,3462,9,,,1,2,6,604,28,50,132,176,218,1241,225,261,255,254,246,984,268,227,194,172,124,445,102,126,80,84,53,150,61,36,21,20,11,28,3,10,8,1,7
2011年,2837,17,,,2,4,11,458,19,55,96,140,148,1010,161,186,185,223,255,876,171,194,162,181,168,363,89,80,82,68,43,89,23,32,14,11,9,26,7,5,8,4,2
2009年,3363,22,,2,2,6,13,362,25,38,67,107,124,1109,179,205,241,246,238,1102,242,226,241,193,200,584,173,139,123,83,66,122,45,34,19,16,7,57,15,15,9,11,7
2008年,3573,11,,,1,,10,382,21,65,61,102,133,1099,157,215,209,256,263,1160,267,238,239,220,196,625,189,133,107,122,73,190,69,39,23,34,26,84,30,24,9,12,9
2007年,3590,12,,,2,3,6,308,14,36,60,80,118,1102,169,174,237,259,263,1259,256,270,267,239,226,683,198,152,157,91,84,159,44,43,27,26,19,60,21,11,9,5,15
2006年,3492,16,0,0,1,6,9,312,16,26,51,98,120,1062,159,195,215,262,232,1391,307,304,311,260,209,576,174,139,116,92,56,107,40,30,11,16,11,27,6,4,3,6,9
2005年,50997,205,,5,12,50,137,5584,368,669,1056,1564,1927,17693,2614,3213,3434,3966,4466,20404,4618,4893,4347,3604,2943,6177,2195,1729,1073,690,490,749,327,201,120,60,41,185,42,38,34,36,36
2004年,3669,15,1,2,2,3,6,333,15,39,64,94,121,1314,164,216,266,312,356,1560,369,369,335,267,220,397,152,102,68,41,33,44,25,10,3,2,3,7,2,,,2,2
2003年,3541,9,,1,1,1,7,373,22,37,63,108,143,1344,175,224,270,325,351,1431,347,339,314,249,182,331,130,75,57,42,27,42,22,12,3,2,3,11,2,3,4,1,1
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
