数据库：年度数据
时间：最近20年
时间,第二孩次生育率(人口抽样调查)(‰),15-19岁育龄妇女第二孩次生育率(人口抽样调查)(‰),15岁育龄妇女第二孩次生育率(人口抽样调查)(‰),16岁育龄妇女第二孩次生育率(人口抽样调查)(‰),17岁育龄妇女第二孩次生育率(人口抽样调查)(‰),18岁育龄妇女第二孩次生育率(人口抽样调查)(‰),19岁育龄妇女第二孩次生育率(人口抽样调查)(‰),20-24岁育龄妇女第二孩次生育率(人口抽样调查)(‰),20岁育龄妇女第二孩次生育率(人口抽样调查)(‰),21岁育龄妇女第二孩次生育率(人口抽样调查)(‰),22岁育龄妇女第二孩次生育率(人口抽样调查)(‰),23岁育龄妇女第二孩次生育率(人口抽样调查)(‰),24岁育龄妇女第二孩次生育率(人口抽样调查)(‰),25-29岁育龄妇女第二孩次生育率(人口抽样调查)(‰),25岁育龄妇女第二孩次生育率(人口抽样调查)(‰),26岁育龄妇女第二孩次生育率(人口抽样调查)(‰),27岁育龄妇女第二孩次生育率(人口抽样调查)(‰),28岁育龄妇女第二孩次生育率(人口抽样调查)(‰),29岁育龄妇女第二孩次生育率(人口抽样调查)(‰),30-34岁育龄妇女第二孩次生育率(人口抽样调查)(‰),30岁育龄妇女第二孩次生育率(人口抽样调查)(‰),31岁育龄妇女第二孩次生育率(人口抽样调查)(‰),32岁育龄妇女第二孩次生育率(人口抽样调查)(‰),33岁育龄妇女第二孩次生育率(人口抽样调查)(‰),34岁育龄妇女第二孩次生育率(人口抽样调查)(‰),35-39岁育龄妇女第二孩次生育率(人口抽样调查)(‰),35岁育龄妇女第二孩次生育率(人口抽样调查)(‰),36岁育龄妇女第二孩次生育率(人口抽样调查)(‰),37岁育龄妇女第二孩次生育率(人口抽样调查)(‰),38岁育龄妇女第二孩次生育率(人口抽样调查)(‰),39岁育龄妇女第二孩次生育率(人口抽样调查)(‰),40-44岁育龄妇女第二孩次生育率(人口抽样调查)(‰),40岁育龄妇女第二孩次生育率(人口抽样调查)(‰),41岁育龄妇女第二孩次生育率(人口抽样调查)(‰),42岁育龄妇女第二孩次生育率(人口抽样调查)(‰),43岁育龄妇女第二孩次生育率(人口抽样调查)(‰),44岁育龄妇女第二孩次生育率(人口抽样调查)(‰),45-49岁育龄妇女第二孩次生育率(人口抽样调查)(‰),45岁育龄妇女第二孩次生育率(人口抽样调查)(‰),46岁育龄妇女第二孩次生育率(人口抽样调查)(‰),47岁育龄妇女第二孩次生育率(人口抽样调查)(‰),48岁育龄妇女第二孩次生育率(人口抽样调查)(‰),49岁育龄妇女第二孩次生育率(人口抽样调查)(‰)
2015年,12.30,1.12,0.09,0.25,0.57,1.40,2.64,13.39,4.26,7.92,12.89,18.18,22.41,28.80,25.21,28.25,29.76,30.57,30.73,25.42,29.61,28.22,25.56,23.21,20.36,10.96,16.99,14.03,10.64,7.69,5.85,2.45,4.20,2.95,2.19,1.75,1.45,1.23,1.28,1.22,1.16,1.21,1.28
2014年,13.40,0.89,,,0.50,1.54,2.07,17.96,4.38,10.01,14.51,25.62,28.44,34.77,33.77,34.92,31.81,35.90,38.22,25.74,33.23,26.95,24.92,23.22,20.29,9.71,16.57,11.09,10.13,5.77,5.72,2.22,3.99,2.21,2.94,1.14,1.04,0.54,0.73,0.43,0.67,0.51,0.42
2013年,11.11,0.50,0.03,0.08,0.12,0.61,1.58,10.73,3.18,6.55,7.64,13.80,19.54,29.75,24.63,26.28,35.35,33.61,30.53,24.15,25.05,30.69,25.41,22.30,16.83,9.95,15.64,11.52,9.70,7.42,6.85,2.35,3.64,2.54,2.14,2.19,1.38,0.61,0.90,0.83,1.06,0.12,0.19
2012年,10.92,0.25,,,0.15,0.35,0.72,11.78,3.29,4.82,11.64,16.82,20.70,28.44,22.93,29.73,30.72,31.36,28.46,24.46,30.10,29.51,24.14,21.52,16.20,9.91,12.85,14.92,8.97,8.82,5.27,2.88,6.05,3.43,1.95,1.81,1.19,0.58,0.36,0.98,0.85,0.07,0.65
2011年,8.72,0.44,,,0.25,0.51,1.29,8.58,1.98,4.77,8.88,13.50,13.21,22.80,16.60,21.90,22.25,26.98,26.82,21.77,21.01,24.53,19.71,21.83,21.85,7.66,10.32,9.22,8.54,6.66,4.26,1.69,2.30,2.81,1.33,0.97,0.95,0.52,0.71,0.48,0.79,0.32,0.30
2009年,10.60,0.57,,0.22,0.25,0.81,1.34,8.29,2.61,4.43,6.95,12.80,16.43,29.33,24.06,27.77,29.10,33.44,32.35,27.62,31.49,29.22,32.61,23.14,22.89,10.92,18.18,13.54,11.51,7.58,5.50,2.16,3.95,2.83,1.83,1.43,0.66,1.22,1.36,1.12,0.89,2.02,0.97
2008年,11.18,0.27,,,0.12,0.04,1.11,9.35,2.45,7.08,7.38,13.74,17.86,28.25,20.82,25.03,28.01,33.54,34.10,28.03,33.26,33.09,28.37,26.05,21.08,11.31,18.52,12.57,10.07,9.90,6.38,3.33,5.55,3.80,2.01,2.93,2.27,1.96,2.25,2.42,1.55,1.62,1.43
2007年,11.05,0.25,,,0.17,0.34,0.72,7.68,1.56,4.22,8.10,10.68,15.77,27.90,19.83,22.46,31.63,32.76,33.61,28.53,34.49,32.45,30.85,25.14,22.17,11.71,18.70,13.71,12.58,7.83,6.75,2.72,4.28,3.68,2.30,2.26,1.45,1.58,2.04,1.95,1.23,0.76,1.71
2006年,10.62,0.31,0.00,0.00,0.08,0.61,0.99,8.02,1.99,3.70,6.87,13.05,13.86,27.77,20.61,26.39,27.17,33.05,31.66,29.23,35.59,35.36,32.23,25.29,20.03,9.95,15.42,11.16,10.10,7.25,5.52,1.83,3.36,2.56,0.94,1.21,1.07,0.72,0.97,0.62,0.38,0.70,0.89
2005年,10.90,0.31,,0.04,0.08,0.42,1.32,10.33,3.70,6.58,9.33,13.08,18.05,30.40,22.68,28.21,31.07,34.20,35.35,26.89,34.50,33.81,28.28,22.90,17.38,7.41,12.92,9.43,6.76,4.51,2.90,1.06,1.99,1.13,0.68,0.60,0.46,0.31,0.44,0.36,0.26,0.28,0.28
2004年,10.44,0.30,0.10,0.21,0.22,0.32,0.84,8.10,2.07,4.72,7.44,11.32,14.17,28.55,18.54,25.23,30.03,32.78,34.74,26.11,34.06,32.78,28.08,20.95,16.95,6.50,11.65,8.37,5.92,3.41,2.72,0.93,1.88,0.85,0.41,0.28,0.50,0.14,0.31,0.04,0.04,0.18,0.17
2003年,10.10,0.20,,0.09,0.12,0.10,0.87,9.04,2.77,4.59,7.99,12.82,16.04,27.68,20.54,25.30,27.66,31.43,31.56,22.78,30.00,28.08,24.13,19.16,13.80,5.37,10.42,6.49,4.68,3.45,2.05,1.00,1.76,1.50,0.47,0.30,0.32,0.23,0.17,0.30,0.40,0.13,0.14
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
