数据库：年度数据
时间：最近20年
时间,生育率(人口抽样调查)(‰),15-19岁育龄妇女的生育率(人口抽样调查)(‰),15岁育龄妇女的生育率(人口抽样调查)(‰),16岁育龄妇女的生育率(人口抽样调查)(‰),17岁育龄妇女的生育率(人口抽样调查)(‰),18岁育龄妇女的生育率(人口抽样调查)(‰),19岁育龄妇女的生育率(人口抽样调查)(‰),20-24岁育龄妇女的生育率(人口抽样调查)(‰),20岁育龄妇女的生育率(人口抽样调查)(‰),21岁育龄妇女的生育率(人口抽样调查)(‰),22岁育龄妇女的生育率(人口抽样调查)(‰),23岁育龄妇女的生育率(人口抽样调查)(‰),24岁育龄妇女的生育率(人口抽样调查)(‰),25-29岁育龄妇女的生育率(人口抽样调查)(‰),25岁育龄妇女的生育率(人口抽样调查)(‰),26岁育龄妇女的生育率(人口抽样调查)(‰),27岁育龄妇女的生育率(人口抽样调查)(‰),28岁育龄妇女的生育率(人口抽样调查)(‰),29岁育龄妇女的生育率(人口抽样调查)(‰),30-34岁育龄妇女的生育率(人口抽样调查)(‰),30岁育龄妇女的生育率(人口抽样调查)(‰),31岁育龄妇女的生育率(人口抽样调查)(‰),32岁育龄妇女的生育率(人口抽样调查)(‰),33岁育龄妇女的生育率(人口抽样调查)(‰),34岁育龄妇女的生育率(人口抽样调查)(‰),35-39岁育龄妇女的生育率(人口抽样调查)(‰),35岁育龄妇女的生育率(人口抽样调查)(‰),36岁育龄妇女的生育率(人口抽样调查)(‰),37岁育龄妇女的生育率(人口抽样调查)(‰),38岁育龄妇女的生育率(人口抽样调查)(‰),39岁育龄妇女的生育率(人口抽样调查)(‰),40-44岁育龄妇女的生育率(人口抽样调查)(‰),40岁育龄妇女的生育率(人口抽样调查)(‰),41岁育龄妇女的生育率(人口抽样调查)(‰),42岁育龄妇女的生育率(人口抽样调查)(‰),43岁育龄妇女的生育率(人口抽样调查)(‰),44岁育龄妇女的生育率(人口抽样调查)(‰),45-49岁育龄妇女的生育率(人口抽样调查)(‰),45岁育龄妇女的生育率(人口抽样调查)(‰),46岁育龄妇女的生育率(人口抽样调查)(‰),47岁育龄妇女的生育率(人口抽样调查)(‰),48岁育龄妇女的生育率(人口抽样调查)(‰),49岁育龄妇女的生育率(人口抽样调查)(‰)
2015年,30.93,9.19,1.09,3.14,6.69,12.29,18.68,54.96,27.57,42.70,57.26,69.37,75.67,74.31,77.51,78.87,76.12,71.77,65.80,45.31,57.60,51.25,44.63,39.20,33.62,18.60,27.93,23.10,18.02,13.68,10.88,5.37,8.29,6.26,5.06,4.13,3.58,3.11,3.31,3.02,3.06,3.06,3.08
2014年,37.33,11.19,0.87,2.63,9.08,15.52,24.59,79.77,46.55,65.17,75.55,100.21,97.67,93.62,105.73,103.52,89.92,84.02,80.63,49.03,67.85,54.38,46.77,40.86,34.99,17.04,29.74,18.93,17.22,11.66,9.03,3.96,6.09,5.12,4.87,2.47,1.70,1.07,1.18,1.52,1.22,0.92,0.53
2013年,35.68,7.84,0.38,2.03,6.19,13.71,16.42,69.53,32.95,53.75,64.10,85.63,98.26,93.97,96.02,95.89,100.57,96.39,78.72,50.84,61.50,61.94,49.84,45.30,34.33,18.68,29.60,23.00,16.87,14.12,12.53,4.66,7.81,5.19,3.86,4.25,2.52,1.76,2.89,1.89,1.75,0.96,1.37
2012年,35.89,6.72,,1.45,5.46,10.39,15.63,72.80,31.09,49.50,77.95,101.09,95.98,96.82,102.49,110.29,94.51,95.68,80.00,50.81,70.65,61.11,48.79,38.93,31.87,17.15,22.94,23.52,16.83,14.68,9.89,5.47,11.11,5.79,5.14,2.96,2.43,1.56,1.50,2.23,1.93,0.46,1.76
2011年,29.75,6.16,0.94,1.24,4.82,7.69,14.65,66.51,29.15,56.13,69.97,85.67,87.61,77.23,81.94,85.15,73.80,73.30,71.75,40.85,51.84,49.51,36.42,35.10,31.23,12.56,16.77,14.80,14.06,11.54,6.68,3.40,5.20,4.98,2.36,2.30,2.02,1.25,1.37,0.87,1.33,1.44,1.20
2009年,36.14,6.16,0.12,1.36,2.64,6.95,16.74,86.61,41.55,74.48,95.46,115.39,113.31,96.58,115.13,103.15,96.54,86.10,81.76,50.29,64.46,57.36,53.32,41.45,37.51,19.84,29.42,22.01,21.32,15.36,13.19,7.57,10.55,9.58,6.07,6.23,5.10,5.78,6.07,4.99,5.07,7.17,6.62
2008年,38.83,5.26,0.10,0.25,1.84,5.11,17.43,94.60,40.96,84.03,105.04,120.22,131.83,101.44,113.81,108.42,100.87,96.55,86.92,53.85,72.33,59.99,54.63,47.86,37.93,21.93,29.66,26.31,19.73,19.91,15.21,9.93,12.29,10.89,8.60,10.12,7.63,6.65,7.52,7.45,5.66,5.94,5.33
2007年,37.46,3.83,,0.03,1.11,6.20,11.98,93.67,39.41,82.12,107.66,118.26,135.82,103.78,119.66,111.67,112.26,94.94,79.44,52.34,68.49,66.32,54.76,42.67,36.14,20.41,29.26,24.97,20.99,15.03,13.27,6.70,9.63,7.59,6.26,5.99,4.62,5.19,4.69,5.34,6.50,4.00,5.48
2006年,34.99,4.59,0.04,0.59,2.41,6.37,14.87,101.52,44.94,90.89,115.42,125.68,130.65,99.70,122.92,115.79,99.54,86.15,73.84,47.00,64.77,60.03,48.16,37.45,29.90,16.23,26.06,18.70,15.17,11.69,9.04,4.42,5.88,5.52,3.53,2.86,4.52,2.26,3.28,2.26,1.84,1.96,2.20
2005年,34.44,6.34,0.11,0.66,3.00,8.94,25.14,114.46,67.72,108.30,123.25,132.87,133.91,91.70,119.69,105.19,90.79,78.32,67.10,40.22,57.22,51.15,40.31,32.12,24.87,10.98,18.26,13.84,10.11,7.03,4.95,2.05,3.37,2.13,1.60,1.22,1.26,0.77,0.87,0.87,0.61,0.77,0.76
2004年,38.29,5.56,0.48,1.16,3.00,7.82,21.44,120.85,55.74,104.78,133.47,150.96,151.28,107.60,141.70,130.35,107.95,89.98,75.31,42.21,62.20,53.35,43.00,31.73,25.38,10.14,17.41,12.76,9.11,6.07,4.71,1.93,3.22,2.05,1.44,0.85,0.92,0.41,0.40,0.21,0.37,0.52,0.53
2003年,38.01,5.25,0.51,0.85,2.40,7.27,20.84,122.67,56.42,102.05,138.40,153.35,157.39,102.44,145.19,122.37,104.29,84.42,69.04,38.28,58.57,48.00,37.25,29.21,21.50,8.65,16.61,10.58,7.43,5.77,3.26,1.77,2.63,2.51,1.37,0.90,0.74,0.56,0.52,0.68,0.69,0.43,0.47
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
